User,Messages,Characters,First Message,Join Date,Start Date,Days in Server,Norm_Score,Base_Activity_Ticket,Total_Tickets_Capped,Max_Allowed_Tickets,Bonus_Tickets,Final_Tickets_With_Bonus
smuttykurisu,8829,380845,2025-02-01 00:48:19.709000+00:00,2024-03-05 04:28:07.771000+00:00,2024-03-05 04:28:07.771000+00:00,106,32.5451785855317,0,33,530,15,48
thandy07,1555,68668,2025-05-11 04:09:33.991000+00:00,2025-05-11 04:03:22.630000+00:00,2025-05-11 04:03:22.630000+00:00,7,33.59112152153532,0,34,35,1,35
foxxily.,4035,179369,2025-02-01 00:02:33.396000+00:00,2024-09-25 08:00:18.593000+00:00,2024-09-25 08:00:18.593000+00:00,106,16.057206328754425,0,16,530,15,31
spiceymolly,3049,131402,2025-02-01 13:02:29.280000+00:00,2024-05-01 09:23:06.709000+00:00,2024-05-01 09:23:06.709000+00:00,106,12.13517896688389,0,12,530,15,27
jinkmsu,2854,130112,2025-02-01 01:45:39.824000+00:00,2024-05-02 23:07:57.979000+00:00,2024-05-02 23:07:57.979000+00:00,106,11.866847684164911,0,12,530,15,27
herrscherdesendes,1445,99724,2025-03-30 08:26:04.613000+00:00,2025-03-30 08:25:23.048000+00:00,2025-03-30 08:25:23.048000+00:00,49,18.350939884006916,0,18,245,7,25
somnus.,2530,112948,2025-02-01 07:49:09.210000+00:00,2024-10-02 05:34:13.208000+00:00,2024-10-02 05:34:13.208000+00:00,106,10.469031023674706,0,10,530,15,25
.orangebee,1079,41495,2025-05-05 06:42:26.934000+00:00,2025-05-05 06:41:44.065000+00:00,2025-05-05 06:41:44.065000+00:00,13,22.137943518254882,0,22,65,1,23
evilmclaren722,2288,62057,2025-02-01 00:02:43.222000+00:00,2023-12-01 20:43:41.669000+00:00,2023-12-01 20:43:41.669000+00:00,106,7.023901223539052,0,7,530,15,22
branislovebranislife,1087,66449,2025-02-01 01:18:58.626000+00:00,2024-04-25 13:36:10.121000+00:00,2024-04-25 13:36:10.121000+00:00,106,5.965120039576793,0,6,530,15,21
gamerboy79,839,33268,2025-02-03 20:52:32.881000+00:00,2024-08-02 08:57:00.492000+00:00,2024-08-02 08:57:00.492000+00:00,106,3.5629983036133366,0,4,530,15,19
iiluciferii6969,1151,32703,2025-02-01 00:10:26.925000+00:00,2024-06-04 05:13:45.142000+00:00,2024-06-04 05:13:45.142000+00:00,106,3.921027324479664,0,4,530,15,19
diamondcbb,1107,36156,2025-02-04 03:34:31.804000+00:00,2024-09-29 09:04:36.540000+00:00,2024-09-29 09:04:36.540000+00:00,106,4.084488616524815,0,4,530,15,19
jayking543,666,23078,2025-02-01 03:52:44.935000+00:00,2024-12-25 18:51:37.336000+00:00,2024-12-25 18:51:37.336000+00:00,106,2.6882474807773784,0,3,530,15,18
_hanja_,358,16534,2025-04-03 23:28:33.107000+00:00,2024-05-01 05:57:12.932000+00:00,2024-05-01 05:57:12.932000+00:00,106,1.8163115389025664,0,2,530,15,17
ultimatephantom,457,14357,2025-02-01 01:48:46.303000+00:00,2024-04-05 14:56:59.795000+00:00,2024-04-05 14:56:59.795000+00:00,106,1.8354182807121036,0,2,530,15,17
hwaitinghoshino,306,15241,2025-02-01 00:57:48.319000+00:00,2025-01-31 09:05:11.099000+00:00,2025-01-31 09:05:11.099000+00:00,106,1.6487697484944626,0,2,530,15,17
brojack,298,13248,2025-03-13 14:40:40.915000+00:00,2024-03-12 17:07:04.840000+00:00,2024-03-12 17:07:04.840000+00:00,106,1.5098454671985269,0,2,530,15,17
pfist,254,15642,2025-02-12 19:59:07.602000+00:00,2024-07-02 19:36:24.713000+00:00,2024-07-02 19:36:24.713000+00:00,106,1.5840059678462657,0,2,530,15,17
communist_horse,457,21442,2025-02-01 23:42:39.259000+00:00,2024-06-13 09:22:05.546000+00:00,2024-06-13 09:22:05.546000+00:00,106,2.281015764988833,0,2,530,15,17
romeee36,0,0,,2024-05-24 17:21:59.643000+00:00,2024-05-24 17:21:59.643000+00:00,106,0.0,1,0,530,15,16
fromsoft_simp,0,0,,2024-04-26 05:26:56.607000+00:00,2024-04-26 05:26:56.607000+00:00,106,0.0,1,0,530,15,16
yatzai,0,0,,2024-04-07 01:40:04.865000+00:00,2024-04-07 01:40:04.865000+00:00,106,0.0,1,0,530,15,16
uberasian,0,0,,2024-05-12 20:42:50.312000+00:00,2024-05-12 20:42:50.312000+00:00,106,0.0,1,0,530,15,16
chisataki_,0,0,,2024-12-25 14:41:10.579000+00:00,2024-12-25 14:41:10.579000+00:00,106,0.0,1,0,530,15,16
ninjatortuga,0,0,,2024-04-24 21:57:25.011000+00:00,2024-04-24 21:57:25.011000+00:00,106,0.0,1,0,530,15,16
shadow856328,0,0,,2024-05-12 15:06:26.962000+00:00,2024-05-12 15:06:26.962000+00:00,106,0.0,1,0,530,15,16
fantom93,0,0,,2025-01-26 17:50:49.877000+00:00,2025-01-26 17:50:49.877000+00:00,106,0.0,1,0,530,15,16
bels5012,0,0,,2024-05-27 21:20:28.677000+00:00,2024-05-27 21:20:28.677000+00:00,106,0.0,1,0,530,15,16
asce22s,0,0,,2024-04-24 06:04:01.677000+00:00,2024-04-24 06:04:01.677000+00:00,106,0.0,1,0,530,15,16
sydravin,0,0,,2025-01-14 16:49:15.779000+00:00,2025-01-14 16:49:15.779000+00:00,106,0.0,1,0,530,15,16
steb0012,0,0,,2024-07-02 09:38:56.670000+00:00,2024-07-02 09:38:56.670000+00:00,106,0.0,1,0,530,15,16
chosensavior,0,0,,2024-05-24 22:31:27.864000+00:00,2024-05-24 22:31:27.864000+00:00,106,0.0,1,0,530,15,16
treestumpinator,0,0,,2024-04-28 06:47:41.808000+00:00,2024-04-28 06:47:41.808000+00:00,106,0.0,1,0,530,15,16
jet2k5,0,0,,2024-04-11 12:30:48.653000+00:00,2024-04-11 12:30:48.653000+00:00,106,0.0,1,0,530,15,16
garfunkiel,0,0,,2024-07-25 17:28:28.784000+00:00,2024-07-25 17:28:28.784000+00:00,106,0.0,1,0,530,15,16
daria8504,0,0,,2024-12-04 22:40:47.119000+00:00,2024-12-04 22:40:47.119000+00:00,106,0.0,1,0,530,15,16
retsamld,0,0,,2024-04-22 02:39:51.119000+00:00,2024-04-22 02:39:51.119000+00:00,106,0.0,1,0,530,15,16
autumnayre,0,0,,2023-08-23 18:15:09.001000+00:00,2023-08-23 18:15:09.001000+00:00,106,0.0,1,0,530,15,16
cloudymiku,0,0,,2024-04-24 17:33:26.253000+00:00,2024-04-24 17:33:26.253000+00:00,106,0.0,1,0,530,15,16
dabesttiger,0,0,,2024-04-05 15:26:27.090000+00:00,2024-04-05 15:26:27.090000+00:00,106,0.0,1,0,530,15,16
icepick314,0,0,,2024-05-09 13:45:14.013000+00:00,2024-05-09 13:45:14.013000+00:00,106,0.0,1,0,530,15,16
jcorner900,0,0,,2024-05-30 03:17:42.043000+00:00,2024-05-30 03:17:42.043000+00:00,106,0.0,1,0,530,15,16
bucknutties,0,0,,2024-02-04 23:02:04.232000+00:00,2024-02-04 23:02:04.232000+00:00,106,0.0,1,0,530,15,16
jo_mama69,0,0,,2024-07-01 03:32:06.627000+00:00,2024-07-01 03:32:06.627000+00:00,106,0.0,1,0,530,15,16
zero.mb,0,0,,2024-05-12 03:01:14.450000+00:00,2024-05-12 03:01:14.450000+00:00,106,0.0,1,0,530,15,16
shdwflme,0,0,,2024-04-16 04:48:15.400000+00:00,2024-04-16 04:48:15.400000+00:00,106,0.0,1,0,530,15,16
mechimp3000,0,0,,2024-11-23 00:41:15.646000+00:00,2024-11-23 00:41:15.646000+00:00,106,0.0,1,0,530,15,16
casualhylian69,0,0,,2024-11-20 21:55:40.976000+00:00,2024-11-20 21:55:40.976000+00:00,106,0.0,1,0,530,15,16
atlasprevail,0,0,,2024-03-31 13:53:37.213000+00:00,2024-03-31 13:53:37.213000+00:00,106,0.0,1,0,530,15,16
_keizou,0,0,,2024-05-05 13:15:54.529000+00:00,2024-05-05 13:15:54.529000+00:00,106,0.0,1,0,530,15,16
alswulf,0,0,,2024-11-26 16:35:52.181000+00:00,2024-11-26 16:35:52.181000+00:00,106,0.0,1,0,530,15,16
ceo_lazy,0,0,,2024-11-20 23:43:38.420000+00:00,2024-11-20 23:43:38.420000+00:00,106,0.0,1,0,530,15,16
playamax1,0,0,,2024-10-15 23:46:09.323000+00:00,2024-10-15 23:46:09.323000+00:00,106,0.0,1,0,530,15,16
donutcult,0,0,,2024-02-22 02:37:43.311000+00:00,2024-02-22 02:37:43.311000+00:00,106,0.0,1,0,530,15,16
thegwennet12,0,0,,2024-11-22 01:43:26.898000+00:00,2024-11-22 01:43:26.898000+00:00,106,0.0,1,0,530,15,16
naner,0,0,,2024-05-02 22:53:37.704000+00:00,2024-05-02 22:53:37.704000+00:00,106,0.0,1,0,530,15,16
.unknown465,0,0,,2024-07-05 11:17:58.050000+00:00,2024-07-05 11:17:58.050000+00:00,106,0.0,1,0,530,15,16
exile89,0,0,,2024-04-30 13:20:58.451000+00:00,2024-04-30 13:20:58.451000+00:00,106,0.0,1,0,530,15,16
progenitor3,0,0,,2024-09-25 02:52:37.600000+00:00,2024-09-25 02:52:37.600000+00:00,106,0.0,1,0,530,15,16
sleepyfox_13,0,0,,2024-10-02 02:11:20.673000+00:00,2024-10-02 02:11:20.673000+00:00,106,0.0,1,0,530,15,16
sword567,0,0,,2024-03-31 21:44:55.792000+00:00,2024-03-31 21:44:55.792000+00:00,106,0.0,1,0,530,15,16
kal1889,0,0,,2024-05-22 17:55:33.636000+00:00,2024-05-22 17:55:33.636000+00:00,106,0.0,1,0,530,15,16
kaleidoro,0,0,,2024-03-10 05:33:50.423000+00:00,2024-03-10 05:33:50.423000+00:00,106,0.0,1,0,530,15,16
redpandamonium,0,0,,2024-02-09 07:16:44.032000+00:00,2024-02-09 07:16:44.032000+00:00,106,0.0,1,0,530,15,16
doom667x,0,0,,2024-12-30 04:19:34.623000+00:00,2024-12-30 04:19:34.623000+00:00,106,0.0,1,0,530,15,16
gorillathespinner,0,0,,2024-09-26 16:50:24.673000+00:00,2024-09-26 16:50:24.673000+00:00,106,0.0,1,0,530,15,16
fgcsnow,0,0,,2024-04-02 16:35:03.461000+00:00,2024-04-02 16:35:03.461000+00:00,106,0.0,1,0,530,15,16
.marchpane,0,0,,2024-05-13 11:23:31.787000+00:00,2024-05-13 11:23:31.787000+00:00,106,0.0,1,0,530,15,16
independent_pipe_550,0,0,,2024-09-25 04:26:56.880000+00:00,2024-09-25 04:26:56.880000+00:00,106,0.0,1,0,530,15,16
memestermoon,0,0,,2024-05-16 10:14:31.909000+00:00,2024-05-16 10:14:31.909000+00:00,106,0.0,1,0,530,15,16
lorddoba,0,0,,2024-07-11 06:00:50.099000+00:00,2024-07-11 06:00:50.099000+00:00,106,0.0,1,0,530,15,16
nogginissleepy,0,0,,2025-01-04 17:38:26.234000+00:00,2025-01-04 17:38:26.234000+00:00,106,0.0,1,0,530,15,16
chunkyplug,0,0,,2024-07-31 11:59:57.320000+00:00,2024-07-31 11:59:57.320000+00:00,106,0.0,1,0,530,15,16
fruitninja,0,0,,2024-09-25 16:31:07.561000+00:00,2024-09-25 16:31:07.561000+00:00,106,0.0,1,0,530,15,16
_seregon,0,0,,2024-04-29 18:53:01.386000+00:00,2024-04-29 18:53:01.386000+00:00,106,0.0,1,0,530,15,16
runey5,0,0,,2024-04-30 08:07:08.882000+00:00,2024-04-30 08:07:08.882000+00:00,106,0.0,1,0,530,15,16
siam,0,0,,2024-11-19 14:57:03.064000+00:00,2024-11-19 14:57:03.064000+00:00,106,0.0,1,0,530,15,16
don.bilbo,0,0,,2024-11-09 05:31:18.984000+00:00,2024-11-09 05:31:18.984000+00:00,106,0.0,1,0,530,15,16
_.7fd,0,0,,2024-03-31 09:47:45.350000+00:00,2024-03-31 09:47:45.350000+00:00,106,0.0,1,0,530,15,16
mechakuro,0,0,,2024-11-24 13:46:21.595000+00:00,2024-11-24 13:46:21.595000+00:00,106,0.0,1,0,530,15,16
shinmaruku,0,0,,2024-04-24 08:30:16.398000+00:00,2024-04-24 08:30:16.398000+00:00,106,0.0,1,0,530,15,16
tortol_tortol,0,0,,2024-11-21 02:17:56.278000+00:00,2024-11-21 02:17:56.278000+00:00,106,0.0,1,0,530,15,16
